INFO:tensorflow:[INFO] Key adult_f-LKSCL15A4CFHHJ00a034 length 187.
INFO:tensorflow:[INFO] Key adult_f-LKSCL15A4CFHKM00a031 length 182.
INFO:tensorflow:[INFO] Key adult_f-LKSCL15A4CFHYK02a066 length 326.
INFO:tensorflow:[INFO] Key adult_f-LKSCL15A4OFCJJ00a078 length 396.
INFO:tensorflow:[INFO] Key adult_f-LKSCL15A4OFCJJ00b117 length 227.
INFO:tensorflow:[INFO] Key adult_f-LKSCL15A4OMLKY00a054 length 173.
INFO:tensorflow:[INFO] Key adult_f-LKSCL15A4OMNKS00a116 length 281.
INFO:tensorflow:[INFO] Key adult_f-LKSCL15A4OMPHI00a037 length 168.
INFO:tensorflow:[INFO] Key adult_f-LKSNS05MMAMLDY00a126 length 165.
INFO:tensorflow:[INFO] Key adult_f-LKSNS05MMCMLDH01b036 length 357.
INFO:tensorflow:[INFO] Key adult_f-LKSNS05MMCMLDH10a088 length 154.
INFO:tensorflow:[INFO] Key adult_f-LKSNS05MMOMKYH00a085 length 249.
INFO:tensorflow:[INFO] Key adult_f-LKSNS15A4AFBIH00a103 length 264.
INFO:tensorflow:[INFO] Key adult_f-LKSNS15A4AFCHM00a103 length 201.
INFO:tensorflow:[INFO] Key adult_f-LKSNS15A4AFCJO00a112 length 198.
INFO:tensorflow:[INFO] Key adult_f-LKSNS15A4AFHJE00a124 length 295.
INFO:tensorflow:[INFO] Key adult_f-LKSNS15A4AMLJG00a140 length 244.
INFO:tensorflow:[INFO] Key adult_f-LKSNS15A4AMLNH00a159 length 307.
INFO:tensorflow:[INFO] Key adult_f-LKSNS15A4AMLSW00a121 length 294.
INFO:tensorflow:[INFO] Key adult_f-LKSNS15A4AMLWK00a099 length 180.
INFO:tensorflow:[INFO] Key adult_f-LKSNS15A4AMLYH00a175 length 174.
INFO:tensorflow:[INFO] Key adult_f-LKSNS15A4AMPBS00a112 length 162.
INFO:tensorflow:[INFO] Key adult_f-LKSNS15A4AMPJS00a064 length 211.
INFO:tensorflow:[INFO] Key adult_f-LKSNS15A4CMLKH04b115 length 340.
INFO:tensorflow:[INFO] Key adult_f-LKSNS15A4CMRBM00a031 length 194.
INFO:tensorflow:[INFO] Key adult_f-LKSNS15A4OFAMS00a080 length 299.
INFO:tensorflow:[INFO] Key adult_f-LKSNS15A4OFHID01a116 length 256.
INFO:tensorflow:[INFO] Key adult_f-LKSNS15A4OMLIS01b051 length 233.
INFO:tensorflow:[INFO] Key adult_f-LPRCL05MMAFHYK00a255 length 194.
INFO:tensorflow:[INFO] Key adult_f-LPRCL05MMAMLWC00a249 length 215.
INFO:tensorflow:[INFO] Key adult_f-LPRCL05MMAMOCK00a244 length 226.
INFO:tensorflow:[INFO] Key adult_f-LPRCL05MMCMOWT00a135 length 241.
INFO:tensorflow:[INFO] Key adult_f-LPRCL15A4OFAMY00a121 length 199.
INFO:tensorflow:[INFO] Key adult_f-LPRNS15A4AFBSH00a251 length 332.
INFO:tensorflow:[INFO] Key adult_f-LPRNS15A4AFCSA00a252 length 299.
INFO:tensorflow:[INFO] Key adult_f-LPRNS15A4AFEEJ00a255 length 205.
INFO:tensorflow:[INFO] Key adult_f-LPRNS15A4AMLYJ03a242 length 220.
INFO:tensorflow:[INFO] Key adult_f-LPRNS15A4OMPSH10a124 length 217.
INFO:tensorflow:[INFO] Key adult_m-MMHS01149 length 105.
INFO:tensorflow:[INFO] Key adult_m-MMMJ01033 length 193.
INFO:tensorflow:[INFO] Key kid_f-F1BCH1138_030 length 389.
INFO:tensorflow:[INFO] Key kid_f-F1BSR1064_062 length 409.
INFO:tensorflow:[INFO] Key kid_f-F1CSC1081_043 length 432.
INFO:tensorflow:[INFO] Key kid_f-F1GNH1091_016 length 254.
INFO:tensorflow:[INFO] Key kid_f-F1GSH1082_013 length 414.
INFO:tensorflow:[INFO] Key kid_f-F1GSO1092_016 length 491.
INFO:tensorflow:[INFO] Key kid_f-F1GSY1079_008 length 262.
INFO:tensorflow:[INFO] Key kid_f-F1HSY1125_020 length 391.
INFO:tensorflow:[INFO] Key kid_f-F1IES1113_043 length 388.
INFO:tensorflow:[INFO] Key kid_f-F1IYN1084_015 length 355.
INFO:tensorflow:[INFO] Key kid_f-F2CYU1140_015 length 273.
INFO:tensorflow:[INFO] Key kid_f-F2GJA1086_013 length 313.
INFO:tensorflow:[INFO] Key kid_f-F2GJM1120_008 length 246.
INFO:tensorflow:[INFO] Key kid_f-F2GNU1116_003 length 373.
INFO:tensorflow:[INFO] Key kid_f-F2IES1111_018 length 470.
INFO:tensorflow:[INFO] Key kid_f-F2IJE1095_008 length 215.
INFO:tensorflow:[INFO] Key kid_f-F2JEC1099_017 length 195.
INFO:tensorflow:[INFO] Key kid_f-F2JYW1087_010 length 150.
INFO:tensorflow:[INFO] Key kid_f-F2MSY1135_011 length 270.
INFO:tensorflow:[INFO] Key kid_f-F3BHY1119_017 length 110.
INFO:tensorflow:[INFO] Key kid_f-F3BJA1104_029 length 136.
INFO:tensorflow:[INFO] Key kid_f-F3BJS1131_015 length 129.
INFO:tensorflow:[INFO] Key kid_f-F3CHM1080_011 length 149.
INFO:tensorflow:[INFO] Key kid_f-F3CJE1148_006 length 158.
INFO:tensorflow:[INFO] Key kid_f-F3CYG1101_027 length 220.
INFO:tensorflow:[INFO] Key kid_f-F3GBH1090_011 length 250.
INFO:tensorflow:[INFO] Key kid_f-F3GDG1121_028 length 318.
INFO:tensorflow:[INFO] Key kid_f-F3GDY1126_001 length 301.
INFO:tensorflow:[INFO] Key kid_f-F3GHA1143_018 length 116.
INFO:tensorflow:[INFO] Key kid_f-F3GHE1107_034 length 267.
INFO:tensorflow:[INFO] Key kid_f-F3GHS1118_015 length 180.
INFO:tensorflow:[INFO] Key kid_f-F3GJH1083_017 length 212.
INFO:tensorflow:[INFO] Key kid_f-F3GNY1115_012 length 172.
INFO:tensorflow:[INFO] Key kid_f-F3GSE1088_011 length 157.
INFO:tensorflow:[INFO] Key kid_f-F3GSY1105_011 length 132.
INFO:tensorflow:[INFO] Key kid_f-F3GTR1078_007 length 144.
INFO:tensorflow:[INFO] Key kid_f-F3HHJ1150_010 length 235.
INFO:tensorflow:[INFO] Key kid_f-F3HJJ1139_017 length 176.
INFO:tensorflow:[INFO] Key kid_f-F3IGY1110_021 length 185.
INFO:tensorflow:[INFO] Key kid_f-F3IJH1076_007 length 164.
INFO:tensorflow:[INFO] Key kid_f-F3ISE1089_016 length 220.
INFO:tensorflow:[INFO] Key kid_f-F3IUR1136_016 length 626.
INFO:tensorflow:[INFO] Key kid_f-F3IYW1108_028 length 238.
INFO:tensorflow:[INFO] Key kid_f-F3JDY1106_011 length 167.
INFO:tensorflow:[INFO] Key kid_m-M1GTH1003_015 length 310.
INFO:tensorflow:[INFO] Key kid_m-M1GUB1049_014 length 162.
INFO:tensorflow:[INFO] Key kid_m-M1ICH1001_015 length 869.
